numero_iteracoes,tamanho_bytes,tempo_ms
250,8,0.000465
250,128,0.000438
250,512,0.000730
250,1024,0.000716
250,4096,0.002880
250,16384,0.004068
250,65536,0.009048
250,131072,0.016891
250,262144,0.022381
250,524288,0.040126
250,1048576,0.078154
250,4194304,0.537242
500,8,0.000414
500,128,0.000433
500,512,0.000664
500,1024,0.000704
500,4096,0.002863
500,16384,0.004260
500,65536,0.009245
500,131072,0.013382
500,262144,0.021112
500,524288,0.040048
500,1048576,0.076872
500,4194304,0.513897
1000,8,0.000349
1000,128,0.000424
1000,512,0.000633
1000,1024,0.000720
1000,4096,0.002788
1000,16384,0.004197
1000,65536,0.009342
1000,131072,0.016204
1000,262144,0.025328
1000,524288,0.040465
1000,1048576,0.078427
1000,4194304,0.842960
2000,8,0.000420
2000,128,0.000513
2000,512,0.000793
2000,1024,0.000892
2000,4096,0.003847
2000,16384,0.007385
2000,65536,0.012885
2000,131072,0.022745
2000,262144,0.035294
2000,524288,0.067786
2000,1048576,0.131494
2000,4194304,0.720624
4000,8,0.000331
4000,128,0.000424
4000,512,0.000634
4000,1024,0.000695
4000,4096,0.002787
4000,16384,0.004128
4000,65536,0.007460
4000,131072,0.012781
4000,262144,0.021059
4000,524288,0.042012
4000,1048576,0.107972
4000,4194304,0.423899
